File Path,Container,Video Codec,Resolution,File Size (MB),Audio Codec,Audio Channels
"/pool/Movies/Harry Potter and the Goblet of Fire (2005)/Harry Potter and the Goblet of Fire (2005) Open Matte (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 MONOLITH).mkv",mkv,hevc,1920x1080,4490,aac,6
"/pool/Movies/Metropolis (1927)/Metropolis (1927) Bluray-1080p 19.mkv",mkv,av1,1440x1080,3742,opus,6
"/pool/Movies/Batman Forever (1995)/Batman Forever (1995) AC3 5.1 ITA.ENG 1080p H265 sub NUita.eng Sp33dy94-MIRCrew.mkv",mkv,hevc,1920x1080,2696,ac3,6
"/pool/Movies/Paterson (2016)/Paterson (2016) Bluray-1080p 370755.mkv",mkv,hevc,1920x1032,3173,aac,6
"/pool/Movies/Point Break (1991)/Point Break (1991) Bluray-1080p 1089.mkv",mkv,hevc,1920x800,11866,aac,6
"/pool/Movies/The Accountant 2 (2025)/The Accountant² (2025) WEBDL-1080p 870028.mkv",mkv,hevc,1920x800,2051,eac3,6
"/pool/Movies/Downfall The Case Against Boeing (2022)/Downfall.The.Case.Against.Boeing.2022.1080p.NF.WEB-DL.x265.10bit.HDR.DDP5.1-NPMS.mkv",mkv,hevc,1920x1080,3504,eac3,6
"/pool/Movies/Stop Making Sense (1984)/Stop Making Sense (1984) Bluray-1080p 24128.mkv",mkv,hevc,1920x1080,7485,dts,6
"/pool/Movies/Only Yesterday (1991)/Only Yesterday (1991) Bluray-1080p 15080.mkv",mkv,hevc,1920x1040,4936,eac3,2
"/pool/Movies/Get Carter (1971)/Get Carter (1971) Bluray-1080p 1485.mkv",mkv,hevc,1920x1080,6540,dts,1
"/pool/Movies/Predestination (2014)/Predestination (2014) (1080p BluRay x265 afm72).mkv",mkv,hevc,1920x800,3501,aac,6
"/pool/Movies/Tron (1982)/Tron (1982) AC3 5.1 ITA.ENG 1080p H265 sub ita.eng Sp33dy94-MIRCrew.mkv",mkv,hevc,1920x870,2347,ac3,6
"/pool/Movies/YOLO 2/YOLO 2.mp4",mp4,av1,1920x1080,41,aac,2
"/pool/Movies/The Warriors (1979)/The Warriors (1979) Ultimate Director's Cut (1080p BluRay x265 FreetheFish).mkv",mkv,hevc,1904x1072,3776,ac3,6
"/pool/Movies/Judge Dredd (1995)/Judge Dredd 1995 Remastered BR EAC3 VFF VFQ ENG 1080p x265 10Bits T0M.mkv",mkv,hevc,1920x824,3978,eac3,6
"/pool/Movies/The Iron Claw ()/The Iron Claw (2023) WEBRip-1080p 850165.mkv",mkv,hevc,1920x1040,4044,eac3,6
"/pool/Movies/I Saw the TV Glow (2024)/I Saw the TV Glow (2024) WEBRip-1080p 858017.mkv",mkv,hevc,1920x1040,2205,eac3,6
"/pool/Movies/The Nice Guys (2016)/The Nice Guys (2016) Bluray-1080p 290250.mkv",mkv,av1,1920x800,5251,opus,6
"/pool/Movies/Planet of the Apes (2001)/Planet of the Apes - Il pianeta delle scimmie (2001) AC3 5.1 ITA.ENG 1080p H265 sub ita.eng Sp33dy94-MIRCrew.mkv",mkv,hevc,1920x818,2841,ac3,6
"/pool/Movies/Beetlejuice 2 (2024)/Beetlejuice Beetlejuice (2024) WEBDL-1080p Proper 917496.mkv",mkv,hevc,1920x1040,4855,eac3,6
"/pool/Movies/The Artifice Girl (2023)/The Artifice Girl (2023) Bluray-1080p 983282.mkv",mkv,hevc,1920x804,938,eac3,6
"/pool/Movies/WALL·E (2008)/WALL·E (2008) Bluray-1080p 10681.mkv",mkv,hevc,1920x804,6885,eac3,6
"/pool/Movies/Fire of Love (2022)/Fire of Love (2022) WEBDL-1080p 913823.mkv",mkv,hevc,1440x1080,4207,eac3,6
"/pool/Movies/Fast X (2023)/Fast.X.2023.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv",mkv,hevc,3840x2160,6436,aac,6
"/pool/Movies/Fast X (2023)/Fast X (2023) WEBDL-2160p 385687.mkv",mkv,hevc,3840x2160,6436,aac,6
"/pool/Movies/Dazed and Confused (1993)/Dazed and Confused (1993) Criterion (1080p BluRay x265 10bit Tigole).mkv",mkv,hevc,1920x1038,4781,aac,6
"/pool/Movies/The Ministry of Ungentlemanly Warfare (2024)/The Ministry of Ungentlemanly Warfare (2024) Bluray-1080p 799583.mkv",mkv,hevc,1920x800,2218,eac3,6
"/pool/Movies/Multiple Maniacs (1970)/Multiple Maniacs (1970) Bluray-1080p 25625.mkv",mkv,hevc,1800x1080,6498,flac,1
"/pool/Movies/Warfare (2025)/Warfare (2025) WEBDL-1080p 1241436.mkv",mkv,hevc,1918x958,1462,eac3,6
"/pool/Movies/The Holdovers (2023)/The Holdovers (2023) WEBRip-1080p 840430.mp4",mp4,hevc,1794x1080,2906,aac,6
"/pool/Movies/The Killer (1989)/The Killer (1989) Bluray-1080p 10835.mkv",mkv,hevc,1920x980,1522,aac,2
"/pool/Movies/Catching Dust (2024)/Catching Dust (2024) WEBRip-1080p 992638.mkv",mkv,hevc,1920x800,1593,eac3,6
